id,code,description
019c0cd2-374d-789f-bd3c-b9509330b997,USER_VIEW,Xem danh sách user
019c0cd2-3750-7d95-b0c2-88b64df6a947,USER_CREATE,Tạo user
019c0cd2-3750-7ead-8cb0-3a8eee5611b0,USER_UPDATE,Cập nhật user
019c0cd2-3750-7f3e-91a8-49344f152322,USER_DELETE,Xoá user
019c0cd2-3750-7fc5-86b4-7a3f77bd5a54,ROLE_VIEW,Xem role
019c0cd2-3751-7049-8687-cca003aa2cb7,ROLE_CREATE,Tạo role
019c0cd2-3751-70ca-be57-f52d9c310b4e,ROLE_UPDATE,Cập nhật role
019c0cd2-3751-7176-8e97-ca2def7481ea,ROLE_DELETE,Xoá role
019c0cd2-3751-7221-8563-f8aad7915c4b,CHEMICAL_VIEW,Xem nguyên liệu
019c0cd2-3751-7463-88cb-51f4e3a2c1eb,CHEMICAL_CREATE,Tạo nguyên liệu
019c0cd2-3751-753f-991d-fbe57deebd42,CHEMICAL_UPDATE,Cập nhật nguyên liệu
019c0cd2-3751-75d0-b385-03d435af7008,CHEMICAL_DELETE,Xoá nguyên liệu
019c0cd2-3751-7658-aece-520f74c19b71,ORDER_VIEW,Xem đơn nhập
019c0cd2-3751-76d8-b73a-e982e0099c30,ORDER_CREATE,Tạo đơn nhập
019c0cd2-3751-775c-a8c4-c2e86049f732,ORDER_UPDATE,Cập nhật đơn nhập
019c0cd2-3751-77e4-bdce-e9337c242887,ORDER_CANCEL,Huỷ đơn nhập
019c0cd2-3751-7860-8b85-9c86c6e5bf01,RECEIPT_VIEW,Xem phiếu nhận
019c0cd2-3751-78e6-9614-03f6ac611fe3,RECEIPT_CREATE,Tạo phiếu nhận
019c0cd2-3751-7988-bcff-164e4854cfe8,STOCK_VIEW,Xem tồn kho
019c0cd2-3751-7a0d-bef7-72bf918d6890,STOCK_ADJUST,Điều chỉnh tồn kho
